Num. Colegiado;Nombre;Apellido 1;Apellido 2;Telefono;Especialidad;Horario;
896655565;Raúl;Cuenca;Serrano;0;1;1;
627442912;Álvaro;Jimínez;Zavala;+34 993-10-6713;2;2;
469553262;Mar;Vallejo;Lorenzo;+34 963-656037;4;1;
259487490;Miriam;Rendón;Madrid;974624144;5;4;
553733848;Guillermo;Alvarado;Carrillo;+34 919-01-0443;4;4;
338127990;Mario;Robles;Tovar;908 428348;3;2;
410158550;Lucía;Mares;Medrano;952007085;5;4;
86309881;Clara;Núñez;De la Torre;+34 906-515060;3;4;
869001114;Rayan;Heredia;Villalpando;+34 930-06-0893;5;1;
16846072;Enrique;Mena;Lira;+34 947-913589;2;3;
505842890;Diego;Villanueva;Ojeda;956-758133;5;1;
737150183;Carlota;Garrido;Blázquez;+34 919 461077;4;4;
189616507;Vera;Alcántar;Camarillo;+34 967598050;5;4;
615514569;Ian;Oquendo;Bahena;+34 925-41-5218;5;4;
376241534;Ignacio;Millán;Aparicio;+34 970-93-7419;4;1;
124052471;Roberto;Soler;Arguello;928 06 7730;5;4;
150622614;Vera;Tijerina;Rivas;988 98 4152;3;1;
46351606;Luisa;Santana;Lucio;+34 971409339;3;1;
127972579;Ainara;Flórez;Sánchez;971 89 8022;5;2;
290363208;Rubén;Bravo;Ramírez;+34 975-26-7749;1;4;
661738113;Nerea;Blanco;Castellanos;979-82-2870;4;3;
885409499;Berta;Sáenz;Coronado;939-915737;5;4;
957198538;Rafael;Lemus;Guzmán;944-876592;5;3;
946663506;Mario;Orozco;Martos;+34 944914247;2;4;
201276265;Hugo;Armendáriz;Casares;966680177;3;4;
184086253;Rosa;Puente;Barraza;+34 966-343319;3;3;
264575309;Sergio;Lebrón;Zarate;902-15-3384;2;1;
896310202;Verónica;Robledo;Becerra;969-034136;3;4;
630220347;Valentina;Tafoya;Sola;+34 991-695758;5;4;
930031803;José;Adorno;Pons;+34 973 571138;5;3;
504267987;Andrés;Roig;Valdés;+34 969-75-9046;5;2;
530049175;Antonia;Lázaro;Abrego;948 37 6072;3;4;
725694087;Rodrigo;Riera;Pedroza;991-86-9456;4;2;
140898514;Luna;Carrasquillo;Quesada;+34 917062869;1;3;
24257002;Claudia;Carretero;Menéndez;+34 948132505;1;3;
765704557;Óscar;Esparza;Madrid;964 42 0555;2;2;
148102000;Héctor;Santana;Pantoja;+34 975-056864;5;4;
550871557;Gloria;Piña;Rodríguez;978-672502;2;1;
448471405;Sonia;Ojeda;Estévez;909 11 4084;3;2;
986351216;Gerard;Segura;Serna;948 94 0376;1;4;
433802694;Guillem;Rivera;Salcedo;+34 941-41-7194;1;1;
329586673;Rocío;Orta;Ceballos;+34 948 026557;2;3;
299971449;Mireia;Banda;Dávila;+34 992-983939;3;1;
516477857;Yaiza;Nazario;Adorno;949-51-2344;5;4;
732793544;Vega;Soler;Olivares;+34 950-146304;3;1;
369472150;Guillermo;Simón;Sauceda;+34 974 22 9487;1;3;
474955006;Yeray;Rodríguez;Rodríquez;936-76-8536;4;2;
669877593;Beatriz;Villagómez;Vega;+34 987-54-3703;3;4;
645573507;Mario;Bautista;Flórez;+34 901 74 2589;5;3;
1492176;Leo;Velásquez;Valdés;+34 989850515;1;2;
847703808;Lorena;Serna;Páez;+34 910441733;3;4;
203556062;Omar;Rangel;Cordero;951 523139;1;1;
604961046;Raúl;Beltrán;Orozco;+34 974 760887;5;4;
31174149;Carlota;Cerda;Villalobos;+34 971-18-6767;2;1;
335690902;Naia;Ruvalcaba;Murillo;+34 907-54-5197;3;1;
989529566;Helena;León;Gonzáles;+34 908 34 3137;1;1;
762006228;Martina;Soler;Barroso;+34 913 853461;5;4;
73857326;José Antonio;Alarcón;Tejada;+34 910358936;3;2;
745956837;Yolanda;Pascual;Delagarza;+34 953-998570;5;1;
778288031;Beatriz;Casanova;Piñeiro;+34 950-44-7660;1;3;
973651170;Rosario;Rosado;Delapaz;900455590;4;2;
988629295;Victoria;Zúñiga;Rosario;933723334;5;3;
730434025;Paula;Salcedo;Carrero;964 26 5131;1;2;
357703318;Berta;Ordoñez;Cazares;+34 915 341451;5;1;
769619002;Diana;Cruz;Almanza;+34 964 518865;5;4;
351741345;Jimena;Valentín;Alemán;+34 968 724331;1;3;
511044708;Lucas;Córdoba;Negrete;998210300;5;4;
37787589;Marc;De Anda;Lázaro;+34 905-910178;3;2;
521225154;Carolina;Garica;Quezada;907-83-3534;4;2;
221832282;Luis;Serrano;Lomeli;938-943601;2;3;
721598517;María Carmen;Peláez;Collazo;915333059;3;1;
404026761;Miguel;Santos;Manzanares;964 633442;4;2;
29738923;María Dolores;Pelayo;Casares;955 908645;2;1;
141078829;Abril;Juan;Longoria;+34 945394598;2;4;
447390548;Rosa María;Colón;Ramos;+34 974 02 0933;5;2;
639118087;Ana Isabel;Olvera;Niño;950171274;4;1;
656466199;Salma;Calvillo;Jiménez;955 026535;4;1;
505408315;Andrés;Gaytán;Costa;969 048149;5;1;
523241653;Héctor;Luevano;Puig;+34 953-08-3239;1;3;
386605048;Leo;Ruvalcaba;Ureña;+34 955-170160;2;2;
343510924;Abril;Vásquez;Tirado;933-391210;4;4;
151434559;Valeria;Garrido;Silva;+34 918 942939;1;2;
968479661;Ana María;Bahena;Sisneros;+34 998-24-4478;4;3;
649838889;Elena;Roque;Valdés;917 543035;3;2;
217371017;Marc;Nava;Naranjo;+34 956326170;5;3;
855811338;Esther;Anaya;Colunga;+34 957-87-1667;5;2;
782713632;Oliver;Sola;Fierro;+34 917376025;3;2;
822861066;Sergio;Lucas;Quintanilla;+34 966-280703;4;3;
380076390;Francisco;Andrés;Roldán;+34 947-61-8833;1;3;
724016901;Luis;Gurule;Guardado;+34 911 32 1549;1;1;
740897938;María Ángeles;Segovia;Robledo;963 886156;3;2;
489851627;Yaiza;Almaráz;De Anda;+34 919-89-2008;3;2;
342173790;Alberto;Quesada;Linares;977225555;5;1;
308376769;Jon;Monroy;Morales;945 75 9225;3;1;
295789885;Francisco;Muñiz;Vargas;980-43-2412;1;2;
942663154;Martina;Zepeda;Ros;+34 925575377;4;1;
248142362;Alma;Partida;Mendoza;+34 950-67-5040;1;3;
714486719;Nicolás;Andrés;Urías;+34 954 63 2756;5;4;
608387419;Aleix;Polanco;Franco;986 644777;5;2;
987946596;Miriam;Espinosa;Carrasco;931 828500;2;4;
420756223;Omar;Soriano;Polanco;+34 970-008111;3;4;
849950274;Leire;Miramontes;Aranda;959-883177;5;1;
119888539;Silvia;Santana;Escobedo;991277468;5;4;
714476067;Diego;Godínez;Hernádez;909-816023;2;1;
302895380;Gabriela;Alba;Pedraza;+34 915-024394;2;3;
950427824;Ainara;Miranda;Tirado;995 32 0750;3;3;
641215412;Yolanda;Rodríguez;Escamilla;952283024;5;2;
7149701;Amparo;Tamez;Arribas;+34 975 140962;1;4;
251994345;Martina;Carrasquillo;Más;979466480;2;3;
997970607;María Carmen;Luján;Araña;+34 927267685;3;3;
589812184;Javier;Agosto;Cuellar;+34 927861265;4;4;
42430034;José Antonio;Cerda;Quintanilla;+34 941-124716;4;1;
438217847;Zoe;Sisneros;Preciado;+34 969 947577;5;2;
860992306;Carlota;Gallego;Salcedo;+34 960145557;3;2;
66173225;África;Villanueva;Loera;+34 965 181419;2;1;
147243567;Jimena;Pérez;Esquibel;+34 942-116678;2;4;
123627708;Lara;Cordero;Serrano;+34 951 913190;5;2;
77265999;Lucas;Arribas;Aranda;965650185;5;4;
845459927;Ángeles;Ortíz;Aguayo;982913056;4;4;
930253093;Mario;Negrón;Gallardo;+34 986 608191;4;1;
993076150;Emilia;Caballero;Barrientos;932-367906;2;3;
77594909;Jan;Calderón;Gaona;962 651135;1;4;
