Num. Colegiado;Nombre;Apellido 1;Apellido 2;Telefono;Especialidad;Horario;
727610853;Alberto;Almanza;Vega;996-839048;2;1;
4299099;Marcos;Saldivar;Vargas;+34 933-36-9045;1;2;
90656593;Laia;Samaniego;Cintrón;+34 948-99-6795;1;2;
156051298;Mara;Aguirre;Rolón;+34 929-518393;3;1;
684340636;Ignacio;Benavides;Pascual;+34 966972102;4;1;
4520069;Biel;Viera;Vásquez;937 31 9093;1;4;
594849432;Jordi;Ramírez;Alfonso;+34 943-56-6823;3;1;
490652007;Yolanda;Correa;Valles;+34 921148997;3;4;
483661808;Ángeles;Sauceda;Urías;963 213781;4;1;
748465242;Ainara;Andrés;Zamora;+34 952 985046;4;3;
835616805;Nahia;Santacruz;Villegas;+34 956 875258;3;3;
103257061;Yeray;Villagómez;Rincón;914-35-6450;5;4;
461946610;Raquel;Banda;Manzano;+34 911930993;1;4;
765150878;Nicolás;Bustos;Urrutia;901-590063;2;4;
710186278;Clara;Ortíz;Avilés;+34 923-243876;3;2;
767225391;Jordi;Correa;Jaramillo;+34 912-557821;5;2;
199757956;Óscar;Redondo;Roybal;+34 930205583;4;3;
341386072;María Dolores;Esteban;Cabrera;+34 976-425631;2;4;
244358108;Marc;Pérez;Santillán;+34 965-07-7960;5;2;
404924854;Ana Isabel;Nájera;Zavala;960-97-9318;3;3;
729187703;Ian;Ramírez;Calero;997-10-7192;4;3;
478808891;Josefa;Mora;Aponte;+34 972 24 5252;3;1;
154069020;Valeria;Aranda;Cortés;901616651;5;4;
994294455;Ander;Serra;Zamudio;+34 963371228;3;1;
383371901;Silvia;Peña;Cárdenas;984 278560;2;3;
835624399;Jorge;Orellana;Valladares;+34 921 06 6962;4;1;
453306166;Mario;Morales;Rosales;977 89 8372;3;2;
212723132;Adrián;Del Río;Puig;+34 917 443360;5;1;
451296561;Biel;Delrío;Montes;978-668549;2;4;
866411064;Luna;Cedillo;Fuentes;948-634103;5;4;
42111813;Luis;Roig;Olivas;985-923816;4;4;
235527303;Nicolás;Carmona;Chávez;945 532646;3;2;
906725842;Yaiza;Chavarría;Riera;+34 941 866123;3;3;
562060147;María Pilar;Alarcón;Casado;981-032040;2;1;
187841902;Roberto;Olivas;Pacheco;+34 988-427574;4;4;
557005691;Dario;Abeyta;Sisneros;+34 982 60 6314;1;1;
971865752;Verónica;Trejo;Gallardo;+34 958 80 6599;1;1;
738751126;Nil;Valdivia;Riojas;972-27-5910;5;3;
914786700;Martín;Zepeda;Deleón;974 03 9525;4;2;
264668526;Gloria;Valdés;Antón;+34 942 751294;2;3;
495141062;Pedro;Lorente;Montez;+34 939 20 3681;2;4;
374284682;Gabriel;Bonilla;Del Río;+34 978689465;5;1;
91050534;Marcos;Griego;Corrales;+34 937 986944;4;3;
707599702;Lucas;Castellano;Riera;985146669;5;4;
454947861;César;Caldera;Trejo;+34 933-78-2594;4;2;
312332060;Lucía;Terán;Domínquez;+34 984753895;4;3;
855194376;Miriam;Perea;Sanz;933 68 4090;5;4;
865597033;Iván;Sarabia;López;989148804;1;3;
345242167;Abril;Olivares;Briseño;+34 941 009309;5;1;
870526911;Jesús;Dueñas;Raya;+34 993-94-8870;3;3;
525486385;Santiago;Meraz;Quiñones;927-48-2650;4;3;
365749494;Miguel;Garrido;Osorio;+34 936-34-9459;4;2;
761494693;Ona;Raya;Aguilera;+34 928-641045;3;4;
370596466;Alberto;Tirado;Alvarado;921-80-6242;2;1;
86401865;Pol;Morales;Beltrán;924-851867;4;4;
818461873;Nora;Luis;Madrigal;948 08 6034;2;2;
181348659;Alex;Tejada;Fernández;922-116624;2;1;
262448313;Hugo;Acuña;Quesada;+34 990-208009;1;3;
429097579;Noelia;Escudero;Caballero;+34 944 216367;1;1;
439554852;Josefa;Rangel;Rolón;+34 964-79-7949;3;4;
917270368;Sandra;Olvera;Jimínez;904 65 2150;4;2;
820471632;Diana;Tamayo;Deleón;942 472868;3;4;
915269123;Samuel;Mejía;Lovato;956-687198;4;3;
477468870;Victoria;Lucio;Valencia;970-64-9467;4;1;
501499788;César;Monroy;Anguiano;931868490;5;1;
59037540;Diana;Pacheco;Ruíz;+34 929-50-0377;5;2;
836790256;José Antonio;Zepeda;Trejo;+34 960-000375;2;3;
728705078;Rosario;Aguilar;Alcántar;+34 901-765199;3;3;
873181079;Ona;Munguía;Pichardo;+34 947 69 2957;3;1;
462892772;Aitana;Rangel;Juárez;+34 959-35-1581;4;2;
70587683;José;Camacho;Fajardo;968503516;3;1;
311591887;Carolina;Romero;Pascual;921207399;1;3;
208360729;Nuria;Jaimes;Rueda;+34 920 64 5844;4;3;
711401740;Eduardo;Rolón;Murillo;+34 939702649;5;4;
686617081;Lola;Quintanilla;Raya;+34 968-003814;3;1;
385619710;Teresa;Corona;Correa;989 920498;3;2;
171975480;Óscar;Juan;Godoy;999 310138;4;3;
616008353;Marta;Terán;Munguía;+34 957-320930;4;2;
283999190;Isaac;Delvalle;Ríos;913-010738;4;4;
832552213;Luis;Andrés;Carrero;905-004418;3;1;
119477907;África;Parra;Lugo;+34 906-57-7014;5;4;
744088993;Yaiza;Orozco;Ruiz;+34 964-388952;3;1;
226865206;Mara;Chavarría;Pichardo;+34 934 94 5333;5;2;
662020412;Nahia;Llamas;Posada;914089311;5;1;
